Year,Sexo,Units,Value
2015,,Porcentaje,10.8
2015,Hombres,Porcentaje,
2015,Mujeres,Porcentaje,
2016,,Porcentaje,8.5
2016,Hombres,Porcentaje,
2016,Mujeres,Porcentaje,
2017,,Porcentaje,9.5
2017,Hombres,Porcentaje,
2017,Mujeres,Porcentaje,
2018,,Porcentaje,9.7
2018,Hombres,Porcentaje,
2018,Mujeres,Porcentaje,
2019,,Porcentaje,8.2
2019,Hombres,Porcentaje,
2019,Mujeres,Porcentaje,
2020,,Porcentaje,7.7
2020,Hombres,Porcentaje,
2020,Mujeres,Porcentaje,
2021,,Porcentaje,5.5
2021,Hombres,Porcentaje,
2021,Mujeres,Porcentaje,
2022,,Porcentaje,7.7
2022,Hombres,Porcentaje,
2022,Mujeres,Porcentaje,
2023,,Porcentaje,6.8
2023,Hombres,Porcentaje,
2023,Mujeres,Porcentaje,
