Year,Management_Entity,Units,Value
2015,Red CDIAP de Barcelona,Número Total,
2016,Red CDIAP de Barcelona,Número Total,
2017,Red CDIAP de Barcelona,Número Total,
2018,Red CDIAP de Barcelona,Número Total,
2019,Red CDIAP de Barcelona,Número Total,6671.0
2020,Red CDIAP de Barcelona,Número Total,6281.0
2021,Red CDIAP de Barcelona,Número Total,6097.0
2022,Red CDIAP de Barcelona,Número Total,7353.0
2023,Red CDIAP de Barcelona,Número Total,8500.0
2024,Red CDIAP de Barcelona,Número Total,9224.0
2015,IMPD. Ayuntamiento de Barcelona,Número Total,774.0
2016,IMPD. Ayuntamiento de Barcelona,Número Total,815.0
2017,IMPD. Ayuntamiento de Barcelona,Número Total,913.0
2018,IMPD. Ayuntamiento de Barcelona,Número Total,1066.0
2019,IMPD. Ayuntamiento de Barcelona,Número Total,1179.0
2020,IMPD. Ayuntamiento de Barcelona,Número Total,1369.0
2021,IMPD. Ayuntamiento de Barcelona,Número Total,1611.0
2022,IMPD. Ayuntamiento de Barcelona,Número Total,1738.0
2023,IMPD. Ayuntamiento de Barcelona,Número Total,1809.0
2024,IMPD. Ayuntamiento de Barcelona,Número Total,1978.0
