Year,Escenario,Units,Value
2015,Normalidad,Number of days,365
2016,Normalidad,Number of days,280
2017,Normalidad,Number of days,264
2018,Normalidad,Number of days,287
2019,Normalidad,Number of days,321
2020,Normalidad,Number of days,365
2021,Normalidad,Number of days,365
2022,Normalidad,Number of days,20
2023,Normalidad,Number of days,0
2024,Normalidad,Number of days,0
2025,Normalidad,Number of days,230
2015,Pre-alerta,Number of days,0
2016,Pre-alerta,Number of days,85
2017,Pre-alerta,Number of days,101
2018,Pre-alerta,Number of days,37
2019,Pre-alerta,Number of days,44
2020,Pre-alerta,Number of days,0
2021,Pre-alerta,Number of days,0
2022,Pre-alerta,Number of days,173
2023,Pre-alerta,Number of days,0
2024,Pre-alerta,Number of days,0
2025,Pre-alerta,Number of days,35
2015,Pre-alerta2,Number of days,0
2016,Pre-alerta2,Number of days,0
2017,Pre-alerta2,Number of days,0
2018,Pre-alerta2,Number of days,41
2019,Pre-alerta2,Number of days,0
2020,Pre-alerta2,Number of days,0
2021,Pre-alerta2,Number of days,0
2022,Pre-alerta2,Number of days,127
2023,Pre-alerta2,Number of days,0
2024,Pre-alerta2,Number of days,0
2025,Pre-alerta2,Number of days,0
2015,Alerta,Number of days,0
2016,Alerta,Number of days,0
2017,Alerta,Number of days,0
2018,Alerta,Number of days,0
2019,Alerta,Number of days,0
2020,Alerta,Number of days,0
2021,Alerta,Number of days,0
2022,Alerta,Number of days,45
2023,Alerta,Number of days,59
2024,Alerta,Number of days,186
2025,Alerta,Number of days,100
2015,Excepcionalidad,Number of days,0
2016,Excepcionalidad,Number of days,0
2017,Excepcionalidad,Number of days,0
2018,Excepcionalidad,Number of days,0
2019,Excepcionalidad,Number of days,0
2020,Excepcionalidad,Number of days,0
2021,Excepcionalidad,Number of days,0
2022,Excepcionalidad,Number of days,0
2023,Excepcionalidad,Number of days,268
2024,Excepcionalidad,Number of days,46
2025,Excepcionalidad,Number of days,0
2015,Pre-emergency,Number of days,0
2016,Pre-emergency,Number of days,0
2017,Pre-emergency,Number of days,0
2018,Pre-emergency,Number of days,0
2019,Pre-emergency,Number of days,0
2020,Pre-emergency,Number of days,0
2021,Pre-emergency,Number of days,0
2022,Pre-emergency,Number of days,0
2023,Pre-emergency,Number of days,38
2024,Pre-emergency,Number of days,31
2025,Pre-emergency,Number of days,0
2015,Emergencia,Number of days,0
2016,Emergencia,Number of days,0
2017,Emergencia,Number of days,0
2018,Emergencia,Number of days,0
2019,Emergencia,Number of days,0
2020,Emergencia,Number of days,0
2021,Emergencia,Number of days,0
2022,Emergencia,Number of days,0
2023,Emergencia,Number of days,0
2024,Emergencia,Number of days,102
2025,Emergencia,Number of days,0
