Year,Sexo,Units,Value
2015,,Porcentaje,82.2
2016,,Porcentaje,84.5
2017,,Porcentaje,85.8
2018,,Porcentaje,90.7
2019,,Porcentaje,92.1
2020,,Porcentaje,90.8
2021,,Porcentaje,92.4
2022,,Porcentaje,93.5
2023,,Porcentaje,94.0
2024,,Porcentaje,94.5
2025,,Porcentaje,95.2
2015,Hombres,Porcentaje,85.0
2016,Hombres,Porcentaje,87.8
2017,Hombres,Porcentaje,87.4
2018,Hombres,Porcentaje,92.6
2019,Hombres,Porcentaje,93.8
2020,Hombres,Porcentaje,92.6
2021,Hombres,Porcentaje,94.4
2022,Hombres,Porcentaje,94.8
2023,Hombres,Porcentaje,95.1
2024,Hombres,Porcentaje,96.2
2025,Hombres,Porcentaje,96.2
2015,Mujeres,Porcentaje,79.7
2016,Mujeres,Porcentaje,81.5
2017,Mujeres,Porcentaje,84.3
2018,Mujeres,Porcentaje,89.1
2019,Mujeres,Porcentaje,90.6
2020,Mujeres,Porcentaje,89.3
2021,Mujeres,Porcentaje,90.7
2022,Mujeres,Porcentaje,92.3
2023,Mujeres,Porcentaje,93.0
2024,Mujeres,Porcentaje,93.1
2025,Mujeres,Porcentaje,94.3
