Year,Value,Units
1999,11.0,Millones de Euros
2000,4.5,Millones de Euros
2001,0.0,Millones de Euros
2002,8.5,Millones de Euros
2003,0.0,Millones de Euros
2004,0.0,Millones de Euros
2005,2.8,Millones de Euros
2006,5.5,Millones de Euros
2007,0.0,Millones de Euros
2008,0.0,Millones de Euros
2009,0.0,Millones de Euros
2010,0.0,Millones de Euros
2011,2.5,Millones de Euros
2012,0.0,Millones de Euros
2013,0.0,Millones de Euros
2014,0.0,Millones de Euros
2015,0.0,Millones de Euros
2016,0.0,Millones de Euros
2017,0.0,Millones de Euros
2018,5.8,Millones de Euros
