Year,Units,Value
1999,Million Euros,11.3
2000,Million Euros,7.5
2001,Million Euros,2.7
2002,Million Euros,8.9
2003,Million Euros,1.2
2004,Million Euros,1.0
2005,Million Euros,3.0
2006,Million Euros,5.4
2007,Million Euros,0.1
2008,Million Euros,4.4
2009,Million Euros,8.7
2010,Million Euros,0.1
2011,Million Euros,2.6
2012,Million Euros,0.0
2013,Million Euros,0.1
2014,Million Euros,1.3
2015,Million Euros,0.0
2016,Million Euros,0.0
2017,Million Euros,0.2
2018,Million Euros,6.2
2019,Million Euros,3.3
2020,Million Euros,22.3
