Year,Gender,District,Units,Value
2015-2016,,Barcelona,Percentage,89.5
2015-2016,,Ciutat Vella,Percentage,74.1
2015-2016,,Eixample,Percentage,92.9
2015-2016,,Sants-Montjuïc,Percentage,84.4
2015-2016,,Les Corts,Percentage,92.5
2015-2016,,Sarrià-Sant Gervasi,Percentage,94.1
2015-2016,,Gràcia,Percentage,94.2
2015-2016,,Horta-Guinardó,Percentage,90.2
2015-2016,,Nou Barris,Percentage,82.7
2015-2016,,Sant Andreu,Percentage,88.8
2015-2016,,Sant Martí,Percentage,88.2
2015-2016,,Gap,Percentage,20.1
2016-2017,,Barcelona,Percentage,89.5
2016-2017,,Ciutat Vella,Percentage,79.2
2016-2017,,Eixample,Percentage,89.5
2016-2017,,Sants-Montjuïc,Percentage,84.8
2016-2017,,Les Corts,Percentage,90.8
2016-2017,,Sarrià-Sant Gervasi,Percentage,94.2
2016-2017,,Gràcia,Percentage,95.5
2016-2017,,Horta-Guinardó,Percentage,89.6
2016-2017,,Nou Barris,Percentage,83.7
2016-2017,,Sant Andreu,Percentage,90.6
2016-2017,,Sant Martí,Percentage,89.0
2016-2017,,Gap,Percentage,16.3
2017-2018,,Barcelona,Percentage,90.7
2017-2018,,Ciutat Vella,Percentage,78.0
2017-2018,,Eixample,Percentage,92.6
2017-2018,,Sants-Montjuïc,Percentage,86.2
2017-2018,,Les Corts,Percentage,96.3
2017-2018,,Sarrià-Sant Gervasi,Percentage,95.8
2017-2018,,Gràcia,Percentage,96.0
2017-2018,,Horta-Guinardó,Percentage,88.3
2017-2018,,Nou Barris,Percentage,82.4
2017-2018,,Sant Andreu,Percentage,90.8
2017-2018,,Sant Martí,Percentage,90.3
2017-2018,,Gap,Percentage,18.3
2018-2019,,Barcelona,Percentage,90.0
2018-2019,,Ciutat Vella,Percentage,85.0
2018-2019,,Eixample,Percentage,91.8
2018-2019,,Sants-Montjuïc,Percentage,85.6
2018-2019,,Les Corts,Percentage,98.2
2018-2019,,Sarrià-Sant Gervasi,Percentage,97.4
2018-2019,,Gràcia,Percentage,93.8
2018-2019,,Horta-Guinardó,Percentage,87.3
2018-2019,,Nou Barris,Percentage,75.6
2018-2019,,Sant Andreu,Percentage,91.4
2018-2019,,Sant Martí,Percentage,86.3
2018-2019,,Gap,Percentage,22.6
2019-2020,,Barcelona,Percentage,92.1
2019-2020,,Ciutat Vella,Percentage,85.7
2019-2020,,Eixample,Percentage,93.5
2019-2020,,Sants-Montjuïc,Percentage,86.9
2019-2020,,Les Corts,Percentage,100.0
2019-2020,,Sarrià-Sant Gervasi,Percentage,97.4
2019-2020,,Gràcia,Percentage,96.6
2019-2020,,Horta-Guinardó,Percentage,91.1
2019-2020,,Nou Barris,Percentage,83.1
2019-2020,,Sant Andreu,Percentage,92.6
2019-2020,,Sant Martí,Percentage,88.2
2019-2020,,Gap,Percentage,17.4
2020-2021,,Barcelona,Percentage,89.9
2020-2021,,Ciutat Vella,Percentage,79.5
2020-2021,,Eixample,Percentage,93.4
2020-2021,,Sants-Montjuïc,Percentage,86.1
2020-2021,,Les Corts,Percentage,97.6
2020-2021,,Sarrià-Sant Gervasi,Percentage,95.6
2020-2021,,Gràcia,Percentage,95.7
2020-2021,,Horta-Guinardó,Percentage,86.9
2020-2021,,Nou Barris,Percentage,83.2
2020-2021,,Sant Andreu,Percentage,91.2
2020-2021,,Sant Martí,Percentage,83.6
2020-2021,,Gap,Percentage,18.1
2020-2021,Men,Barcelona,Percentage,88.3
2020-2021,Men,Ciutat Vella,Percentage,73.1
2020-2021,Men,Eixample,Percentage,91.0
2020-2021,Men,Sants-Montjuïc,Percentage,83.3
2020-2021,Men,Les Corts,Percentage,97.9
2020-2021,Men,Sarrià-Sant Gervasi,Percentage,94.4
2020-2021,Men,Gràcia,Percentage,94.0
2020-2021,Men,Horta-Guinardó,Percentage,86.1
2020-2021,Men,Nou Barris,Percentage,80.1
2020-2021,Men,Sant Andreu,Percentage,90.9
2020-2021,Men,Sant Martí,Percentage,83.0
2020-2021,Men,Gap,Percentage,24.8
2020-2021,Women,Barcelona,Percentage,91.5
2020-2021,Women,Ciutat Vella,Percentage,86.9
2020-2021,Women,Eixample,Percentage,95.8
2020-2021,Women,Sants-Montjuïc,Percentage,88.7
2020-2021,Women,Les Corts,Percentage,97.4
2020-2021,Women,Sarrià-Sant Gervasi,Percentage,96.7
2020-2021,Women,Gràcia,Percentage,97.4
2020-2021,Women,Horta-Guinardó,Percentage,87.7
2020-2021,Women,Nou Barris,Percentage,86.5
2020-2021,Women,Sant Andreu,Percentage,91.4
2020-2021,Women,Sant Martí,Percentage,84.1
2020-2021,Women,Gap,Percentage,13.3
2021-2022,,Barcelona,Percentage,91.2
2021-2022,,Ciutat Vella,Percentage,92.0
2021-2022,,Eixample,Percentage,94.8
2021-2022,,Sants-Montjuïc,Percentage,85.4
2021-2022,,Les Corts,Percentage,96.3
2021-2022,,Sarrià-Sant Gervasi,Percentage,94.3
2021-2022,,Gràcia,Percentage,95.3
2021-2022,,Horta-Guinardó,Percentage,92.0
2021-2022,,Nou Barris,Percentage,79.1
2021-2022,,Sant Andreu,Percentage,92.0
2021-2022,,Sant Martí,Percentage,89.8
2021-2022,,Gap,Percentage,17.2
2021-2022,Men,Barcelona,Percentage,89.5
2021-2022,Men,Ciutat Vella,Percentage,89.8
2021-2022,Men,Eixample,Percentage,90.5
2021-2022,Men,Sants-Montjuïc,Percentage,81.9
2021-2022,Men,Les Corts,Percentage,100.5
2021-2022,Men,Sarrià-Sant Gervasi,Percentage,93.7
2021-2022,Men,Gràcia,Percentage,93.6
2021-2022,Men,Horta-Guinardó,Percentage,89.0
2021-2022,Men,Nou Barris,Percentage,78.1
2021-2022,Men,Sant Andreu,Percentage,89.6
2021-2022,Men,Sant Martí,Percentage,87.3
2021-2022,Men,Gap,Percentage,22.4
2021-2022,Women,Barcelona,Percentage,93.0
2021-2022,Women,Ciutat Vella,Percentage,94.3
2021-2022,Women,Eixample,Percentage,99.2
2021-2022,Women,Sants-Montjuïc,Percentage,89.1
2021-2022,Women,Les Corts,Percentage,92.2
2021-2022,Women,Sarrià-Sant Gervasi,Percentage,94.9
2021-2022,Women,Gràcia,Percentage,97.2
2021-2022,Women,Horta-Guinardó,Percentage,95.2
2021-2022,Women,Nou Barris,Percentage,80.1
2021-2022,Women,Sant Andreu,Percentage,94.3
2021-2022,Women,Sant Martí,Percentage,92.4
2021-2022,Women,Gap,Percentage,19.1
2022-2023,,Barcelona,Percentage,91.5
2022-2023,,Ciutat Vella,Percentage,84.5
2022-2023,,Eixample,Percentage,94.8
2022-2023,,Sants-Montjuïc,Percentage,84.0
2022-2023,,Les Corts,Percentage,94.8
2022-2023,,Sarrià-Sant Gervasi,Percentage,94.7
2022-2023,,Gràcia,Percentage,96.3
2022-2023,,Horta-Guinardó,Percentage,93.2
2022-2023,,Nou Barris,Percentage,81.8
2022-2023,,Sant Andreu,Percentage,93.3
2022-2023,,Sant Martí,Percentage,91.3
2022-2023,,Gap,Percentage,14.5
2022-2023,Men,Barcelona,Percentage,90.3
2022-2023,Men,Ciutat Vella,Percentage,84.6
2022-2023,Men,Eixample,Percentage,93.5
2022-2023,Men,Sants-Montjuïc,Percentage,79.3
2022-2023,Men,Les Corts,Percentage,94.5
2022-2023,Men,Sarrià-Sant Gervasi,Percentage,95.2
2022-2023,Men,Gràcia,Percentage,94.7
2022-2023,Men,Horta-Guinardó,Percentage,93.3
2022-2023,Men,Nou Barris,Percentage,80.3
2022-2023,Men,Sant Andreu,Percentage,91.3
2022-2023,Men,Sant Martí,Percentage,88.7
2022-2023,Men,Gap,Percentage,15.8
2022-2023,Women,Barcelona,Percentage,92.8
2022-2023,Women,Ciutat Vella,Percentage,84.3
2022-2023,Women,Eixample,Percentage,96.0
2022-2023,Women,Sants-Montjuïc,Percentage,88.6
2022-2023,Women,Les Corts,Percentage,95.0
2022-2023,Women,Sarrià-Sant Gervasi,Percentage,94.2
2022-2023,Women,Gràcia,Percentage,97.9
2022-2023,Women,Horta-Guinardó,Percentage,93.2
2022-2023,Women,Nou Barris,Percentage,83.3
2022-2023,Women,Sant Andreu,Percentage,95.3
2022-2023,Women,Sant Martí,Percentage,94.1
2022-2023,Women,Gap,Percentage,14.6
2023-2024,,Barcelona,Percentage,88.5
2023-2024,,Ciutat Vella,Percentage,84.3
2023-2024,,Eixample,Percentage,90.0
2023-2024,,Sants-Montjuïc,Percentage,84.3
2023-2024,,Les Corts,Percentage,95.9
2023-2024,,Sarrià-Sant Gervasi,Percentage,93.6
2023-2024,,Gràcia,Percentage,94.0
2023-2024,,Horta-Guinardó,Percentage,85.5
2023-2024,,Nou Barris,Percentage,79.6
2023-2024,,Sant Andreu,Percentage,88.5
2023-2024,,Sant Martí,Percentage,86.5
2023-2024,,Gap,Percentage,16.3
