Year,Gender,Units,Value
2015,,Percentage,47.7
2016,,Percentage,49.6
2017,,Percentage,51.2
2018,,Percentage,52.5
2019,,Percentage,53.3
2020,,Percentage,53.8
2020,Men,Percentage,47.0
2020,Women,Percentage,60.8
2021,,Percentage,55.1
2021,Men,Percentage,48.3
2021,Women,Percentage,61.9
2022,,Percentage,55.9
2022,Men,Percentage,49.2
2022,Women,Percentage,62.6
2023,,Percentage,56.3
2023,Men,Percentage,49.4
2023,Women,Percentage,63.2
2024,,Percentage,56.2
2024,Men,Percentage,48.9
2024,Women,Percentage,63.7
2025,,Percentage,55.9
2025,Men,Percentage,48.5
2025,Women,Percentage,63.6
