Year,Gender,Units,Value
2015,,Percentage,83.7
2016,,Percentage,85.5
2017,,Percentage,85.7
2018,,Percentage,87.7
2019,,Percentage,88.5
2020,,Percentage,84.0
2021,,Percentage,85.4
2022,,Percentage,86.3
2015,Men,Percentage,83.7
2016,Men,Percentage,85.5
2017,Men,Percentage,85.7
2018,Men,Percentage,87.7
2019,Men,Percentage,88.5
2020,Men,Percentage,84.0
2021,Men,Percentage,85.4
2022,Men,Percentage,86.3
2015,Women,Percentage,83.7
2016,Women,Percentage,85.5
2017,Women,Percentage,85.7
2018,Women,Percentage,87.7
2019,Women,Percentage,88.5
2020,Women,Percentage,84.0
2021,Women,Percentage,85.4
2022,Women,Percentage,86.3
