Year,Geographical_Area,Units,Value
2016-2017,Barcelona,Percentage,4.9
2017-2018,Barcelona,Percentage,5.7
2018-2019,Barcelona,Percentage,5.5
2019-2020,Barcelona,Percentage,7.3
2020-2021,Barcelona,Percentage,8.7
2016-2017,Barcelona(0-15 population),Percentage,4.5
2017-2018,Barcelona(0-15 population),Percentage,9.2
2018-2019,Barcelona(0-15 population),Percentage,10.6
2019-2020,Barcelona(0-15 population),Percentage,11.1
2020-2021,Barcelona(0-15 population),Percentage,15.8
2016-2017,Barcelona Metropolitan Area,Percentage,5.8
2017-2018,Barcelona Metropolitan Area,Percentage,6.1
2018-2019,Barcelona Metropolitan Area,Percentage,5.4
2019-2020,Barcelona Metropolitan Area,Percentage,6.8
2020-2021,Barcelona Metropolitan Area,Percentage,9.7
