Year,Type_Cultural_Service,Units,Value
2016,Public library,Percentage,16.5
2017,Public library,Percentage,
2018,Public library,Percentage,
2019,Public library,Percentage,13.8
2020,Public library,Percentage,13.2
2021,Public library,Percentage,14.8
2022,Public library,Percentage,16.4
2023,Public library,Percentage,17.1
2024,Public library,Percentage,15.7
2025,Public library,Percentage,13.7
2016,Popular festival,Percentage,11.7
2017,Popular festival,Percentage,
2018,Popular festival,Percentage,
2019,Popular festival,Percentage,16.1
2020,Popular festival,Percentage,14.4
2021,Popular festival,Percentage,9.5
2022,Popular festival,Percentage,14.0
2023,Popular festival,Percentage,16.9
2024,Popular festival,Percentage,13.9
2025,Popular festival,Percentage,11.2
2016,Cultural activity,Percentage,23.7
2017,Cultural activity,Percentage,
2018,Cultural activity,Percentage,
2019,Cultural activity,Percentage,22.4
2020,Cultural activity,Percentage,23.9
2021,Cultural activity,Percentage,21.1
2022,Cultural activity,Percentage,26.6
2023,Cultural activity,Percentage,27.6
2024,Cultural activity,Percentage,22.6
2025,Cultural activity,Percentage,20.6
