Year,Units,Value
1999,Million Euros,11.258
2000,Million Euros,7.51
2001,Million Euros,2.682
2002,Million Euros,8.888
2003,Million Euros,1.222
2004,Million Euros,0.982
2005,Million Euros,3.041
2006,Million Euros,5.364
2007,Million Euros,0.124
2008,Million Euros,4.445
2009,Million Euros,8.679
2010,Million Euros,0.113
2011,Million Euros,2.618
2012,Million Euros,0.037
2013,Million Euros,0.063
2014,Million Euros,1.261
2015,Million Euros,0.007
2016,Million Euros,0.026
2017,Million Euros,0.185
2018,Million Euros,6.171
2019,Million Euros,3.304
2020,Million Euros,22.327
2021,Million Euros,0.102
2022,Million Euros,0.036
2023,Million Euros,0.014
2024,Million Euros,0.181
2025,Million Euros,0.265
