Year,Geographical_origin,Units,Value
2015,Catalonia,Percentage,18.7
2015,Rest of Spain,Percentage,55.2
2015,Imported,Percentage,26.0
2016,Catalonia,Percentage,18.3
2016,Rest of Spain,Percentage,56.4
2016,Imported,Percentage,25.3
2017,Catalonia,Percentage,14.2
2017,Rest of Spain,Percentage,56.9
2017,Imported,Percentage,28.9
2018,Catalonia,Percentage,13.0
2018,Rest of Spain,Percentage,59.6
2018,Imported,Percentage,27.4
2019,Catalonia,Percentage,11.6
2019,Rest of Spain,Percentage,57.1
2019,Imported,Percentage,31.3
2020,Catalonia,Percentage,12.9
2020,Rest of Spain,Percentage,55.9
2020,Imported,Percentage,31.2
2021,Catalonia,Percentage,14.0
2021,Rest of Spain,Percentage,52.7
2021,Imported,Percentage,33.3
2022,Catalonia,Percentage,14.6
2022,Rest of Spain,Percentage,56.0
2022,Imported,Percentage,29.4
2023,Catalonia,Percentage,14.7
2023,Rest of Spain,Percentage,57.6
2023,Imported,Percentage,27.7
2024,Catalonia,Percentage,15.2
2024,Rest of Spain,Percentage,60.4
2024,Imported,Percentage,24.5
2025,Catalonia,Percentage,15.1
2025,Rest of Spain,Percentage,60.3
2025,Imported,Percentage,24.6
