Year,Gender,Units,Value
2015,Men,Rate per 100.000,23.7
2015,Women,Rate per 100.000,12.2
2015,,Rate per 100.000,17.2
2016,Men,Rate per 100.000,20.5
2016,Women,Rate per 100.000,12.4
2016,,Rate per 100.000,16.1
2017,Men,Rate per 100.000,21.4
2017,Women,Rate per 100.000,13.0
2017,,Rate per 100.000,16.4
2018,Men,Rate per 100.000,19.2
2018,Women,Rate per 100.000,12.5
2018,,Rate per 100.000,16.0
2019,Men,Rate per 100.000,24.1
2019,Women,Rate per 100.000,12.9
2019,,Rate per 100.000,18.7
2020,Men,Rate per 100.000,21.4
2020,Women,Rate per 100.000,9.1
2020,,Rate per 100.000,15.0
2021,Men,Rate per 100.000,20.5
2021,Women,Rate per 100.000,12.0
2021,,Rate per 100.000,16.0
2022,Men,Rate per 100.000,21.6
2022,Women,Rate per 100.000,11.6
2022,,Rate per 100.000,16.3
2023,Men,Rate per 100.000,19.4
2023,Women,Rate per 100.000,9.8
2023,,Rate per 100.000,14.4
2024,Men,Rate per 100.000,22.1
2024,Women,Rate per 100.000,10.9
2024,,Rate per 100.000,16.2
