Year,Basic_Skill,Units,Value
2016-2017,Catalan,Percentage,90.2
2016-2017,Spanish,Percentage,91.5
2016-2017,English,Percentage,89.4
2016-2017,Mathematics,Percentage,88.0
2016-2017,Science and Technology,Percentage,85.9
2017-2018,Catalan,Percentage,90.9
2017-2018,Spanish,Percentage,90.7
2017-2018,English,Percentage,90.1
2017-2018,Mathematics,Percentage,88.0
2017-2018,Science and Technology,Percentage,86.2
2018-2019,Catalan,Percentage,90.9
2018-2019,Spanish,Percentage,91.4
2018-2019,English,Percentage,90.5
2018-2019,Mathematics,Percentage,90.4
2018-2019,Science and Technology,Percentage,86.6
2019-2020,Catalan,Percentage,88.9
2019-2020,Spanish,Percentage,90.4
2019-2020,English,Percentage,92.4
2019-2020,Mathematics,Percentage,87.5
2019-2020,Science and Technology,Percentage,86.0
2020-2021,Catalan,Percentage,89.1
2020-2021,Spanish,Percentage,89.1
2020-2021,English,Percentage,86.2
2020-2021,Mathematics,Percentage,81.7
2020-2021,Science and Technology,Percentage,86.7
2021-2022,Catalan,Percentage,86.9
2021-2022,Spanish,Percentage,87.8
2021-2022,English,Percentage,85.7
2021-2022,Mathematics,Percentage,79.2
2021-2022,Science and Technology,Percentage,86.9
2022-2023,Catalan,Percentage,87.5
2022-2023,Spanish,Percentage,85.1
2022-2023,English,Percentage,90.3
2022-2023,Mathematics,Percentage,78.9
2022-2023,Science and Technology,Percentage,88.0
2023-2024,Catalan,Percentage,87.9
2023-2024,Spanish,Percentage,93.2
2023-2024,English,Percentage,90.7
2023-2024,Mathematics,Percentage,82.4
2023-2024,Science and Technology,Percentage,90.3
2024-2025,Catalan,Percentage,88.4
2024-2025,Spanish,Percentage,89.4
2024-2025,English,Percentage,85.2
2024-2025,Mathematics,Percentage,88.8
2024-2025,Science and Technology,Percentage,86.9
