Year,Gender,Units,Value
2015,,Percentage,10.8
2015,Men,Percentage,
2015,Women,Percentage,
2016,,Percentage,8.5
2016,Men,Percentage,
2016,Women,Percentage,
2017,,Percentage,9.5
2017,Men,Percentage,
2017,Women,Percentage,
2018,,Percentage,9.7
2018,Men,Percentage,
2018,Women,Percentage,
2019,,Percentage,8.2
2019,Men,Percentage,
2019,Women,Percentage,
2020,,Percentage,7.7
2020,Men,Percentage,
2020,Women,Percentage,
2021,,Percentage,5.5
2021,Men,Percentage,
2021,Women,Percentage,
2022,,Percentage,7.7
2022,Men,Percentage,
2022,Women,Percentage,
2023,,Percentage,6.8
2023,Men,Percentage,
2023,Women,Percentage,
