Year,Geographical_Area,Units,Value
2015,Barcelona,Total Number,240.0
2015,Barcelona Metropolitan Area,Total Number,227.9
2015,Catalonia,Total Number,183.8
2015,Spain,Total Number,114.2
2016,Barcelona,Total Number,231.3
2016,Barcelona Metropolitan Area,Total Number,220.9
2016,Catalonia,Total Number,181.1
2016,Spain,Total Number,119.9
2017,Barcelona,Total Number,206.1
2017,Barcelona Metropolitan Area,Total Number,182.1
2017,Catalonia,Total Number,159.0
2017,Spain,Total Number,110.6
2018,Barcelona,Total Number,174.4
2018,Barcelona Metropolitan Area,Total Number,179.4
2018,Catalonia,Total Number,154.0
2018,Spain,Total Number,108.7
2019,Barcelona,Total Number,170.9
2019,Barcelona Metropolitan Area,Total Number,178.2
2019,Catalonia,Total Number,157.3
2019,Spain,Total Number,109.6
2020,Barcelona,Total Number,199.0
2020,Barcelona Metropolitan Area,Total Number,180.1
2020,Catalonia,Total Number,160.4
2020,Spain,Total Number,120.3
2021,Barcelona,Total Number,185.3
2021,Barcelona Metropolitan Area,Total Number,154.2
2021,Catalonia,Total Number,136.3
2021,Spain,Total Number,109.3
