Year,Gender,Units,Value
2015,,Percentage,82.2
2016,,Percentage,84.5
2017,,Percentage,85.8
2018,,Percentage,90.7
2019,,Percentage,92.1
2020,,Percentage,90.8
2021,,Percentage,92.4
2022,,Percentage,93.5
2023,,Percentage,94.0
2024,,Percentage,94.5
2025,,Percentage,95.2
2015,Men,Percentage,85.0
2016,Men,Percentage,87.8
2017,Men,Percentage,87.4
2018,Men,Percentage,92.6
2019,Men,Percentage,93.8
2020,Men,Percentage,92.6
2021,Men,Percentage,94.4
2022,Men,Percentage,94.8
2023,Men,Percentage,95.1
2024,Men,Percentage,96.2
2025,Men,Percentage,96.2
2015,Women,Percentage,79.7
2016,Women,Percentage,81.5
2017,Women,Percentage,84.3
2018,Women,Percentage,89.1
2019,Women,Percentage,90.6
2020,Women,Percentage,89.3
2021,Women,Percentage,90.7
2022,Women,Percentage,92.3
2023,Women,Percentage,93.0
2024,Women,Percentage,93.1
2025,Women,Percentage,94.3
