Year,Value,Units
2015,56,Number of illegal settlements
2016,62,Number of illegal settlements
2017,72,Number of illegal settlements
2018,79,Number of illegal settlements
2019,77,Number of illegal settlements
2020,75,Number of illegal settlements
2021,81,Number of illegal settlements
2022,66,Number of illegal settlements
2023,77,Number of illegal settlements
2024,62,Number of illegal settlements
2025,53,Number of illegal settlements
2017,533,People living in illegal settlements
2018,481,People living in illegal settlements
2019,425,People living in illegal settlements
2020,402,People living in illegal settlements
2021,363,People living in illegal settlements
2022,273,People living in illegal settlements
2023,278,People living in illegal settlements
2024,256,People living in illegal settlements
2025,299,People living in illegal settlements
